  2036  1  3/12/8  3/15/8 anubis gates, the                    4 powers, tim                        
  6610  1  3/06/8  3/11/8 anvil of the heart                   2 holmes, bruce t.                   
   233  1  3/06/8  3/11/8 anvil of the heart                   3 holmes, bruce t.                   
  3856  1  3/06/8  3/11/8 anvil of the heart                   1 holmes, bruce t.                   
  7479  1  3/06/8  3/11/8 anvil of the heart                   1 holmes, bruce t.                   
  6385  1  2/04/8  2/12/8 aquiliad, the                        2 sucharitkul, somtow                
   396  1  2/25/8  3/04/8 aquiliad, the                        3 sucharitkul, somtow                
  4050  1 12/31/8  1/15/8 arafel's saga    (book club ed. of d 1 cherryh, c.j.                      
  6596  1  3/17/8  3/19/8 arafel's saga    and tree of swords  3 cherryh, c. j.                     
   548  1  3/09/8  3/13/8 ariel: the book of the change        1 boyett, stephen r.                 
  9441  1  3/02/8  3/16/8 ariel: the book of the change        1 boyett, stephen                    
  9092  1  3/05/8  3/11/8 armageddon rag, the                  2 martin, george r. r.               
  5175  1  2/16/8  2/19/8 armageddon rag, the                  1 martin, george r. r.               
   631  1  3/09/8  3/12/8 armageddon rag, the                  4 martin                             
  2503  1  2/21/8  2/26/8 armageddon rag, the                  5 martin, george r. r.               
  3761  1  3/17/8  3/19/8 armageddon rag, the                  3 martin, george r. r.               
  8949  1  2/06/8  2/12/8 armageddon rag, the                  5 martin, george r. r.               
   220  1  3/16/8  3/20/8 armageddon rag, the                  3 martin, george r. r.               
   782  1  3/17/8  3/19/8 armageddon rag, the                  5 martin, george r. r.               
  3510  1  3/17/8  3/20/8 armageddon rag, the                  1 martin, george r. r.               
  8724  1  3/09/8  3/12/8 armageddon rag, the                  3 martin, george r. r.               
  2347  1  3/09/8  3/12/8 armageddon rag, the                  5 martin, george r. r.               
  3644  1  3/08/8  3/11/8 armageddon rag, the                  2 martin, george r. r.               
   890  1  3/13/8  3/16/8 armageddon rag, the                  2 martin, george r. r.               
  4513  1  2/23/8  2/26/8 armageddon rag, the                  1 martin, george r. r.               
  2282  1  3/17/8  3/20/8 armageddon rag, the                  3 martin, george r. r.               
  2710  1  3/13/8  3/15/8 armageddon rag, the                  1 martin, george r. r.               
  3648  1  3/10/8  3/13/8 armageddon rag, the                  5 martin, george r. r.               
  9679  1  3/17/8  3/20/8 armageddon rag, the                  1 martin, george r. r.               
  7500  1  3/16/8  3/20/8 armageddon rag, the                  1 martin, george r. r.               
   323  1  1/17/8  1/22/8 armageddon rag, the                  3 martin, george r. r.               
  5818  1  3/14/8  3/18/8 armageddon rag, the                  2 martin, george r. r.               
  9311  1  3/15/8  3/19/8 armageddon rag, the                  4 martin, george r. r.               
  3656  1  3/14/8  3/17/8 armageddon rag, the                  4 martin, george r. r.               
  1451  1  2/07/8  2/12/8 armageddon rag, the                  2 martin, george r. r.               
  3029  1  2/27/8  3/04/8 armageddon rag, the                  4 martin, george r. r.               
  5917  1  3/16/8  3/19/8 armageddon rag, the                  1 martin, george r. r.               
  7214  1  2/21/8  2/26/8 armageddon rag, the                  3 martin, george r. r.               
   102  1  1/09/8  1/15/8 armageddon rag, the                  1 martin, george r. r.               
  8044  1  2/08/8  2/12/8 armageddon rag, the                  2 martin, george r. r.               
  5424  1  3/17/8  3/20/8 armageddon rag, the                  1 martin, george r. r.               
  5839  1  3/14/8  3/19/8 armageddon rag, the                  5 martin, george r. r.               
  5826  1  3/09/8  3/12/8 armageddon rag, the                  3 martin, george r. r.               
  7417  1  3/01/8  3/07/8 armageddon rag, the                  2 martin, george r. r.               
  2765  1  3/12/8  3/15/8 armageddon rag, the                  3 martin, george r. r.               
  6388  1  3/12/8  3/15/8 armageddon rag, the                  2 martin, george r. r.               
  5225  1  3/17/8  3/20/8 armageddon rag, the                  2 martin, george r. r.               
  8158  1  3/17/8  3/20/8 armies of daylight, the              1 hambly, barbara                    
  8045  1  2/14/8  2/19/8 armies of daylight, the              3 hambly, barbara                    
  5429  1  3/15/8  3/19/8 armies of daylight, the              1 hambly, barbara                    
  9052  1  3/15/8  3/19/8 armies of daylight, the              3 hambly, barbara                    
  3587  1  3/17/8  3/19/8 armies of daylight, the              1 hambly, barbara                    
  3833  1  3/13/8  3/14/8 armies of daylight, the              5 hambly, barbara                    
  4296  1  3/12/8  3/14/8 battlefield earth                    4 hubbard, ron                       
  8854  1  3/16/8  3/19/8 best rootin' tootin' shootin' gunsli 3 resnick, mike                      
  7721  1 12/30/8  1/15/8 best rootin' tootin' shootin' gunsli 3 resnick                            
  1344  1 12/30/8  1/15/8 best rootin' tootin' shootin' gunsli 1 resnick, mike                      
  4967  1 12/30/8  1/15/8 best rootin' tootin' shootin' gunsli 1 resnick                            
  5685  1  1/02/8  1/15/8 bio of a space tyrant                2 anthony, piers                     
  5175  1  2/16/8  2/19/8 birth of the people's republic of an 5 batchelor, john                    
  2503  1  2/21/8  2/26/8 birth of the people's republic of an 2 batchelor, j. c.                   
  2706  1  2/16/8  2/26/8 birth of the people's republic of an 1 batchelor, john c.                 
  5252  1  3/12/8  3/13/8 birth of the people's republic of an 5 batchelor, john c.                 
  8875  1  3/12/8  3/13/8 birth of the people's republic of an 4 batchelor, john c.                 
  4357  1  3/17/8  3/21/8 birth of the people's republic of an 2 batchelor, john                    
  8572  1  3/02/8  3/07/8 black stallion legend, the           3 farley, walter                     
  6675  1  3/16/8  3/18/8 blackcollar, the                     3 zahn, timothy                      
  7440  1  3/03/8  3/07/8 blackcollar, the                     3 zahn, timothy                      
  4807  1  3/16/8  3/19/8 blackcollar, the                     4 zahn, timothy                      
  4928  1  3/14/8  3/18/8 blackcollar, the                     4 zahn, timothy                      
  9147  1  3/14/8  3/17/8 blackcollar, the                     3 zahn, timothy                      
  6786  1  3/14/8  3/17/8 blackcollar, the                     1 zahn, timothy                      
  3193  1  3/16/8  3/19/8 blackcollar, the                     3 zahn, timothy                      
   709  1  3/14/8  3/18/8 blue sword, the                      2 mckinley, robin                    
  3833  1  3/13/8  3/14/8 blue sword, the                      3 mckinley, robin                    
  5822  1  3/06/8  3/11/8 bluesong                             5 van scyoc, sydney                  
  3303  1  3/15/8  3/17/8 broken symmetries                    2 preuss, paul                       
  5175  1  2/16/8  2/19/8 broken symmetries                    3 preuss, paul                       
  2196  1  3/12/8  3/14/8 broken symmetries                    3 preuss, paul                       
  9403  1  2/27/8  3/04/8 broken symmetries                    1 preuss, paul                       
  3644  1  3/08/8  3/11/8 broken symmetries                    3 preuss, p.                         
  8123  1  3/15/8  3/16/8 broken symmetries                    5 preuss, paul                       
  9065  1  3/17/8  3/19/8 broken symmetries                    3 preuss, paul                       
  2640  1  3/17/8  3/19/8 broken symmetries                    3 preuss, paul                       
  6985  1  2/18/8  2/26/8 broken symmetries                    3 preuss, paul                       
